cpt_code,description,facility_rate
15738,Muscle-skin graft leg,1154.0506500000001
15740,Island pedicle flap graft,754.933075
15750,Neurovascular pedicle flap,843.8869500000001
15756,Free myo/skin flap microvasc,1971.7549500000002
15757,Free skin flap microvasc,1955.3068750000002
15758,Free fascial flap microvasc,1950.9431
15760,Composite skin graft,614.28525
15769,Grfg autol soft tiss dir exc,456.853675
15770,Derma-fat-fascia graft,609.250125
15771,Grfg autol fat lipo 50 cc/<,475.98715000000004
15772,Grfg autol fat lipo ea addl,126.88515000000001
15773,Grfg autol fat lipo 25 cc/<,456.51800000000003
15774,Gfrg autol fat lipo ea addl,122.18570000000001
15775,Hair trnspl 1-15 punch grfts,224.23090000000002
15776,Hair trnspl >15 punch grafts,305.128575
15777,Acellular derm matrix implt,183.27855000000002
15778,Impl absrb msh/prsth dly cls,355.14415
15780,Dermabrasion total face,566.9550750000001
15781,Dermabrasion segmental face,370.249525
15782,Dermabrasion other than face,321.912325
15783,Dermabrasion suprfl any site,308.485325
15786,Abrasion lesion single,119.50030000000001
15787,Abrasion lesions add-on,14.434025
15788,Chemical peel facial epidrm,196.70555000000002
15789,Chemical peel facial dermal,359.50792500000006
15792,Chem peel nonfacial epidrm,193.013125
15793,Chemical peel nonfacial drm,319.56260000000003
15820,Blepharoplasty lower eyelid,452.825575
15821,Blepharp lwr eyelid fat pad,486.05740000000003
15822,Blepharoplasty upper eyelid,357.49387500000006
15823,Blepharp upr eyelid xcsv skn,484.04335000000003
15830,Exc excessive skin abdomen,1072.4816250000001
15832,Exc excessive skin thigh,846.57235
15833,Exc excessive skin leg,801.927575
15834,Exc excessive skin hip,815.6902500000001
15835,Exc excessive skin buttock,848.9220750000001
15836,Exc excessive skin arm,732.44285
15837,Exc excsv skin forearm/hand,661.6154250000001
15838,Exc excsv submental fat pad,602.8723000000001
15839,Exc excessive skn other area,685.4483500000001
15840,Nerve palsy fascial graft,890.8814500000001
15841,Nerve palsy muscle graft,1588.749775
15842,Nerve palsy microsurg graft,2375.571975
15845,Skin and muscle repair face,972.450475
15851,Removal sutr/staple req anes,58.743125000000006
15852,Dressing change not for burn,38.9383
15853,Removal sutr/stapl xreq anes,13.427000000000001
15854,Removal sutr&stapl xreq anes,17.790775000000004
15860,Iv njx tst vasc flo flap/grf,93.65332500000001
15920,Exc coccygl pr ulc prim sutr,631.404675
15922,Exc coccygl pr ulc flap clsr,734.792575
15931,Exc sacral pr ulc prim sutr,676.7208
15933,Exc sac pr ulc prim str ostc,827.1032000000001
15934,Exc sacral pr ulc skn flap,892.8955000000001
15935,Exc sac pr ulc skn flp ostc,1050.3270750000001
15936,Exc sac pr ulc prep mus flap,842.2085750000001
15937,Exc sac pr ulc prep mus ostc,924.1132750000002
15940,Exc ischial pr ulc prim sutr,667.6575750000001
15941,Exc isch pr ulc prm sut ostc,870.4052750000001
15944,Exc isch pr ulc skn flp clsr,855.2999000000001
15945,Exc isch pr ulc skn flp ostc,931.4981250000001
15946,Exc isch pr ulc prep mus flp,1467.906775
15950,Exc trchntr pr ulc prim sutr,591.4593500000001
15951,Exc trchntr pr ulc ostc,827.7745500000001
15952,Exc trchntr pr ulc flp clsr,837.1734500000001
15953,Exc trchntr pr ulc flp ostc,922.770575
15956,Exc trchntr pr ulc prep flap,1098.664275
15958,Exc trchntr pr ulc prep ostc,1089.2653750000002
16000,Initial treatment of burn(s),42.29505
16020,Dress/debrid p-thick burn s,54.715025
16025,Dress/debrid p-thick burn m,102.380875
16030,Dress/debrid p-thick burn l,123.52840000000002
16035,Escharotomy 1st incision,179.586125
16036,Escharotomy ea addl incision,73.84850000000002
17000,Destruct premalg lesion,48.001525
17003,Destruct premalg les 2-14,1.6783750000000002
17004,Destroy premal lesions 15/>,83.2474
17106,Dstr cut vsc prlf les<10sqcm,240.678975
17107,Dstr cut vsc prlf les10-50sq,310.49937500000004
17108,Dstr cut vsc prlf les>50sqcm,455.84665
17110,Destruction b9 les up to 14,62.77122500000001
17111,Destruction b9 lesions 15/>,74.18417500000001
17250,Chem caut of granltj tissue,35.58155000000001
17260,Dstrj mal les t/a/l 0.5 cm/<,59.414475
17261,Dstrj mal les t/a/l .6-1.0cm,74.855525
17262,Dstrj mal les t/a/l 1.1-2.0,93.65332500000001
17263,Dstrj mal les t/a/l 2.1-3.0,103.052225
17264,Dstrj mal les t/a/l 3.1-4.0,109.765725
17266,Dstrj mal les t/a/l >4.0 cm,128.22785000000002
17270,Dstr mal les s/n/h/f/g .5 /<,81.56902500000001
17271,Dstr mal les s/n/h/f/g 0.6-1,89.625225
17272,Dstr mal les s/n/h/f/g 1.1-2,102.04520000000001
17273,Dstr mal les s/n/h/f/g 2.1-3,115.13652500000002
17274,Dstr mal les s/n/h/f/g 3.1-4,139.6408
17276,Dstr mal les s/n/h/f/g >4.0,168.50885
17280,Dstr mal ls f/e/e/n/l/m .5/<,74.855525
17281,Dstr mal ls f/e/e/n/l/m .6-1,100.03115000000001
17282,Dstr mal ls f/e/e/n/l/m1.1-2,114.46517500000002
17283,Dstr mal ls f/e/e/n/l/m2.1-3,141.65485
17284,Dstr mal ls f/e/e/n/l/m3.1-4,166.15912500000002
17286,Dstr mal ls f/e/e/n/l/m>4.0,225.5736
17311,Mohs 1 stage h/n/hf/g,288.344825
17312,Mohs addl stage,153.73915000000002
17313,Mohs 1 stage t/a/l,258.805425
17314,Mohs addl stage t/a/l,140.31215
17315,Mohs surg addl block,40.281
17340,Cryotherapy for acne,42.29505
17360,Chemical exfoliation acne,77.8766
19000,Puncture aspir cyst breast,36.588575000000006
19001,Puncture aspir cyst brst ea,18.126450000000002
19020,Mastotomy expl drg absc dp,317.8842250000001
19030,Njx px only mam ducto/glcto,64.4496
19081,Bx breast 1st lesion strtctc,138.96945
19082,Bx breast add lesion strtctc,69.8204
19083,Bx breast 1st lesion us imag,131.248925
19084,Bx breast add lesion us imag,65.456625
19085,Bx breast 1st lesion mr imag,152.060775
19086,Bx breast add lesion mr imag,75.86255
19100,Bx breast percut w/o image,62.099875000000004
19101,Biopsy of breast open,217.51740000000004
19105,Cryosurg ablate fa each,194.69150000000002
19110,Nipple exploration,357.49387500000006
19112,Excise breast duct fistula,332.653925
19120,Removal of breast lesion,409.85917500000005
19125,Excision breast lesion,454.83962500000007
19126,Excision addl breast lesion,144.675925
19281,Perq device breast 1st imag,83.58307500000001
19282,Perq device breast ea imag,41.6237
19283,Perq dev breast 1st strtctc,84.5901
19284,Perq dev breast add strtctc,42.630725000000005
19285,Perq dev breast 1st us imag,72.170125
19286,Perq dev breast add us imag,36.252900000000004
19287,Perq dev breast 1st mr guide,106.40897500000001
19288,Perq dev breast add mr guide,53.708000000000006
19294,Prepj tum cav iort prtl mast,148.704025
19296,Place po breast cath for rad,194.69150000000002
19297,Place breast cath for rad,83.58307500000001
19298,Place breast rad tube/caths,264.847575
19300,Mastectomy for gynecomastia,427.985625
19301,Partial mastectomy,635.7684500000001
19302,P-mastectomy w/ln removal,871.747975
19303,Mast simple complete,920.4208500000001
19305,Mast radical,1102.021025
19306,Mast rad urban type,1182.9187000000002
19307,Mast mod rad,1132.231775
19316,Mastopexy,732.778525
19318,Breast reduction,985.2061250000002
19325,Breast augmentation w/implt,568.969125
19328,Rmvl intact breast implant,515.9324750000001
19330,Rmvl ruptured breast implant,595.48745
19340,Insj breast implt sm d mast,704.581825
19342,Insj/rplcmt brst implt sep d,697.868325
19350,Nipple/areola reconstruction,618.9847000000001
19355,Correct inverted nipple(s),564.941025
19357,Tiss xpndr plmt brst rcnstj,1078.1881
19361,Brst rcnstj latsms drsi flap,1389.0231500000002
19364,Brst rcnstj free flap,2381.2784500000002
19367,Brst rcnstj 1 pdcl tram flap,1566.9309
19368,Brst rcnstj 1pdcl tram anast,1895.8924
19369,Brst rcnstj 2 pdcl tram flap,1764.643475
19370,Revj peri-implt capsule brst,618.9847000000001
19371,Peri-implt capslc brst compl,652.5522000000001
19380,Revj reconstructed breast,739.4920250000001
19396,Design custom breast implant,126.88515000000001
20100,Expl pentrg wound neck,548.4929500000001
20101,Expl pentrg wound chest,202.7477
20102,Expl pentrg wnd abd/flnk/bk,246.38545000000002
20103,Expl pentrg wound extremity,318.21990000000005
20150,Excision epiphyseal bar,925.4559750000001
20200,Muscle biopsy superficial,90.63225000000001
20205,Deep muscle biopsy,147.69700000000003
20206,Biopsy muscle perq needle,51.358275000000006
20220,Bone biopsy trocar/ndl supfc,76.86957500000001
20225,Bone biopsy trocar/ndl deep,113.79382500000001
20240,Bone biopsy open superficial,127.220825
20245,Bone biopsy open deep,304.79290000000003
20250,Biopsy vrt bdy open thoracic,389.38300000000004
20251,Biopsy vrt bdy open lmbr/crv,423.286175
20500,Njx sinus tract therapeutic,83.91875
20501,Njx sinus tract diagnostic,31.217775000000003
20520,Rmvl fb musc/tdn simple,142.661875
20525,Rmvl fb musc/tdn deep/comp,234.30115000000004
20526,Ther injection carp tunnel,49.6799
20527,Njx nzm palmar fascial cord,58.743125000000006
20550,Njx 1 tendon sheath/ligament,33.5675
20551,Njx 1 tendon origin/insj,33.231825
20552,Njx 1/mlt trigger point 1/2,35.917225
20553,Njx 1/mlt trigger points 3/>,40.95235
20555,Place ndl musc/tis for rt,280.959975
20560,Ndl insj w/o njx 1 or 2 musc,12.419975
20561,Ndl insj w/o njx 3+ musc,19.804825
20600,Drain/inj joint/bursa w/o us,31.55345
20604,Drain/inj joint/bursa w/us,39.945325000000004
20605,Drain/inj joint/bursa w/o us,32.2248
20606,Drain/inj joint/bursa w/us,44.980450000000005
20610,Drain/inj joint/bursa w/o us,39.945325000000004
20611,Drain/inj joint/bursa w/us,50.35125000000001
20612,Aspirate/inj ganglion cyst,36.92425000000001
20615,Treatment of bone cyst,145.01160000000002
20650,Insert and remove bone pin,160.78832500000001
20660,Apply rem fixation device,215.83902500000002
20661,Application halo cranial,556.213475
20662,Application halo pelvic,503.51250000000005
20663,Application halo femoral,467.25960000000003
20664,Appl halo cranial 6+pins,946.6035
20665,Rmvl tongs/halo anthr indiv,86.268475
20670,Removal implant superficial,140.647825
20680,Removal of implant deep,396.43217500000003
20690,Appl unipln uni ext fixj sys,548.4929500000001
20692,Appl mltpln uni ext fixj sys,1052.3411250000001
20693,Adjmt/revj ext fixj sys anes,432.013725
20694,Rmvl ext fixj sys under anes,329.968525
20696,App mltpln uni xtrnl fix 1st,1067.110825
20697,App mltpln uni xtrnl fix xch,1920.0610000000001
20700,Mnl prep&insj dp rx dlvr dev,71.16310000000001
20701,Rmvl deep rx delivery device,55.0507
20702,Mnl prep&insj imed rx dev,123.52840000000002
20703,Rmvl imed rx delivery device,90.63225000000001
20704,Mnl prep&insj i-artic rx dev,129.23487500000002
20705,Rmvl i-artic rx delivery dev,106.74465000000001
20802,Replantation arm complete,2464.5258500000004
20805,Replant forearm complete,2913.659
20808,Replantation hand complete,3496.7264750000004
20816,Replantation digit complete,1844.8698000000002
20822,Replantation digit complete,1610.56865
20824,Replantation thumb complete,1850.2406
20827,Replantation thumb complete,1651.8566750000002
20838,Replantation foot complete,2506.4852250000004
20900,Removal of bone for graft,161.459675
20902,Removal of bone for graft,243.02870000000001
20910,Remove cartilage for graft,466.25257500000004
20912,Remove cartilage for graft,437.384525
20920,Removal of fascia for graft,359.50792500000006
20922,Removal of fascia for graft,472.96607500000005
20924,Removal of tendon for graft,472.294725
20931,Sp bone algrft struct add-on,98.68845
20932,Osteoart algrft w/surf & b1,651.8808500000001
20933,Hemicrt intrclry algrft prtl,598.508525
